N,data_type,method,iterations,warmup,cpu_threads,requested_zero_probability,nnz_a,actual_sparsity_a,h2d_ms,h2d_stdev_ms,compute_ms,compute_stdev_ms,d2h_ms,d2h_stdev_ms,total_gpu_ms,total_gpu_stdev_ms,total_wall_ms,total_wall_stdev_ms,launch_overhead_us,launch_overhead_stdev_us,setup_ms,compute_gops,end_to_end_gops,verified,max_abs_error,max_rel_error,checked_elements,device_name,compute_capability,notes
512,float,cublas_sgemm,5,2,2,0,262144,0,0.196454402804,0.00300059484751,0.106905600429,0.00202207693101,0.0871743991971,0.000501245783523,0.401043200493,0.00354051967724,0.4095888,0.00363922433494,9.6004,1.67409994923,22.651111,2510.95784434,669.34299265,1,1.14440917969e-05,6.0647726059e-06,262144,Tesla T4,7.5,Native cuBLAS SGEMM; pedantic FP32 math mode for reproducible verification.
512,float,cusparse_spmm_fp32,5,2,2,0,262144,0,0.286643201113,0.00562361307181,0.607615995407,0.00119509199675,0.0866112008691,0.000560354870254,0.991705584526,0.0056095295735,1.0047188,0.00546107712452,22.6056,6.33569009974,11.486772,441.78470947,270.680593302,1,3.0517578125e-05,1.35898590088e-05,262144,Tesla T4,7.5,"Native cuSPARSE CSR-by-dense SpMM in FP32. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
768,float,cpu_naive,5,2,2,0,589824,0,0,0,672.4726842,25.2153695282,0,0,0,0,672.4726842,25.2153695282,0,0,0,1.34722150845,1.34722150845,1,0,0,589824,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
768,float,cpu_blocked_mt,5,2,2,0,589824,0,0,0,156.0937158,17.5047269745,0,0,0,0,156.0937158,17.5047269745,0,0,0,5.80401113111,5.80401113111,1,0,0,589824,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
768,float,cuda_naive,5,2,2,0,589824,0,0.404544001818,0.00276994974586,3.79683198929,0.00145700665756,0.18630400002,0.00248563828519,4.39869441986,0.00629595810921,4.6401548,0.449415238906,17.082,8.33703995432,9.3351,238.611997201,205.963310365,1,1.43051147461e-05,1.1146068573e-05,589824,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
768,float,cuda_tiled_shared,5,2,2,0,589824,0,0.410579198599,0.00559802890163,2.44598398209,0.000511640839889,0.188928002119,0.00104400441732,3.05626883507,0.00569075929382,3.146724,0.140698977205,12.2846,2.31101974029,6.932586,370.390677386,296.429965062,1,1.43051147461e-05,1.1146068573e-05,589824,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
768,float,cublas_sgemm,5,2,2,0,589824,0,0.406515192986,0.000854966752414,0.369593596458,0.00173066333364,0.186963200569,0.00039066225233,0.973203194141,0.00217503285269,0.9875798,0.00194964493181,28.738,2.95375334109,31.11329,2451.25909291,930.915218378,1,1.43051147461e-05,1.1146068573e-05,589824,Tesla T4,7.5,Native cuBLAS SGEMM; pedantic FP32 math mode for reproducible verification.
768,float,cusparse_spmm_fp32,5,2,2,0,589824,0,0.618118405342,0.00821492545638,2.68001275063,0.0023902644747,0.189343997836,0.00145998589652,3.49855356216,0.00785810569855,3.5146538,0.00866636688349,26.692,1.21810130942,27.823178,338.046773766,258.955493435,1,4.95910644531e-05,2.05636024475e-05,589824,Tesla T4,7.5,"Native cuSPARSE CSR-by-dense SpMM in FP32. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
1024,float,cpu_blocked_mt,5,2,2,0,1048576,0,0,0,220.1937944,8.76010975621,0,0,0,0,220.1937944,8.76010975621,0,0,0,9.75269831673,9.75269831673,1,0,0,1048576,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
1024,float,cuda_naive,5,2,2,0,1048576,0,0.697875201702,0.00896270941361,5.72568950653,0.00361501947279,0.327468806505,0.00287441671163,6.76151676178,0.00944739069983,6.7712322,0.0110584362256,4.5056,1.14656035166,6.694603,375.061142514,317.603834119,1,1.71661376953e-05,1.23977661133e-05,1048576,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
